date,y,year,month,quarter,season_code,month_index,month_sin,month_cos,month_sin2,month_cos2,is_break_season,is_exam_season,is_semester_start,is_year_end,days_in_month,lag_1,lag_2,lag_3,lag_6,lag_12,roll_mean_3,roll_std_3,roll_mean_6,roll_std_6,roll_mean_12,roll_std_12,roll_max_12,roll_min_12,mom_growth,yoy_growth,lag1_over_lag12,lag1_over_roll12,trend_slope_6,same_month_mean,op_app_to_re_pct,op_app_to_ach_pct,op_realizations,op_outgoing_share,op_gv_share,op_entity_hhi,op_active_entities
2023-01-01,845.0,2023.0,1.0,1.0,0.0,12.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,0.0,1.0,0.0,31.0,1080.0,1485.0,1191.0,1042.0,1038.0,1252.0,209.27732796459344,1177.8333333333333,160.25906110628088,1156.1666666666667,231.84823928726755,1537.0,615.0,-27.27272727272727,0.0,1.0404624277456647,0.9341213781173417,35.228571428571385,1038.0,2.5925925925925926,18.88888888888889,28.0,44.53703703703704,35.55555555555556,0.07532921810699587,24.0
2023-02-01,940.0,2023.0,2.0,1.0,0.0,13.0,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,0.0,0.0,0.0,0.0,28.0,845.0,1080.0,1485.0,1167.0,615.0,1136.6666666666667,323.7411517452382,1145.0,207.0140091877842,1140.0833333333333,246.99041510049568,1537.0,615.0,-21.75925925925926,-18.59344894026975,1.3739837398373984,0.7411738907974563,-39.485714285714515,615.0,5.798816568047338,8.994082840236686,49.0,58.57988165680473,30.532544378698223,0.07470746822590246,26.0
2023-03-01,2050.0,2023.0,3.0,1.0,1.0,14.0,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,31.0,940.0,845.0,1080.0,1102.0,1184.0,955.0,118.21590417536889,1107.1666666666667,222.36314143010904,1167.1666666666667,196.92307373615967,1537.0,845.0,11.242603550295858,52.84552845528455,0.793918918918919,0.8053691275167785,-64.37142857142864,1184.0,3.9361702127659575,14.680851063829786,37.0,55.74468085106383,31.70212765957447,0.06423042100497961,26.0
2023-04-01,1622.0,2023.0,4.0,2.0,1.0,15.0,0.8660254037844387,-0.49999999999999983,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0.0,0.0,30.0,2050.0,940.0,845.0,1191.0,1208.0,1278.3333333333333,669.9689047510589,1265.1666666666667,444.151062890394,1239.3333333333333,322.3748053919772,2050.0,845.0,118.08510638297874,73.1418918918919,1.6970198675496688,1.6541151156535774,69.28571428571418,1208.0,1.0731707317073171,21.5609756097561,22.0,47.951219512195124,38.34146341463415,0.06572183224271266,26.0
2023-05-01,1507.0,2023.0,5.0,2.0,2.0,16.0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0,31.0,1622.0,2050.0,940.0,1485.0,1537.0,1537.3333333333333,559.8225909458579,1337.0,464.1594553599011,1273.8333333333333,340.3674039871764,2050.0,845.0,-20.878048780487806,34.271523178807946,1.05530253741054,1.2733219939814209,105.42857142857129,1537.0,1.3563501849568433,20.591861898890258,22.0,42.54007398273736,34.5869297163995,0.06624921509272168,26.0
2023-06-01,1406.0,2023.0,6.0,2.0,2.0,17.0,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1.0,0.0,0.0,0.0,30.0,1507.0,1622.0,2050.0,1080.0,1225.0,1726.3333333333333,286.1404084244889,1340.6666666666667,465.64693348788063,1271.3333333333333,338.362993176729,2050.0,845.0,-7.0900123304562275,-1.951854261548471,1.2302040816326532,1.1853696906135291,159.31428571428563,1225.0,2.05706702057067,18.447246184472462,31.0,41.07498341074983,33.51028533510285,0.05888424248001695,27.0
2023-07-01,1223.0,2023.0,7.0,3.0,3.0,18.0,-0.4999999999999998,-0.8660254037844388,0.8660254037844384,0.5000000000000006,0.0,0.0,1.0,0.0,31.0,1406.0,1507.0,1622.0,845.0,1042.0,1511.6666666666667,108.07559083036897,1395.0,447.8267522156308,1286.4166666666667,340.13939878535183,2050.0,845.0,-6.702057067020571,14.775510204081632,1.3493282149712091,1.0929584763878992,116.51428571428563,1042.0,8.463726884779517,12.446657183499289,119.0,44.31009957325747,30.156472261735416,0.07259782804441038,26.0
2023-08-01,1296.0,2023.0,8.0,3.0,3.0,19.0,-0.8660254037844384,-0.5000000000000004,0.8660254037844392,-0.4999999999999992,0.0,0.0,1.0,0.0,31.0,1223.0,1406.0,1507.0,940.0,1167.0,1378.6666666666667,143.9594850412203,1458.0,375.7696102667165,1301.5,332.2369089014097,2050.0,845.0,-13.01564722617354,17.370441458733204,1.047986289631534,0.939684978870534,-18.05714285714298,1167.0,13.000817661488142,11.447260834014719,159.0,53.72035977105478,27.6369582992641,0.08184303439994813,26.0
2023-09-01,1263.0,2023.0,9.0,3.0,3.0,20.0,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.0,0.0,0.0,0.0,30.0,1296.0,1223.0,1406.0,2050.0,1102.0,1308.3333333333333,92.12129685004078,1517.3333333333333,297.5941307664966,1312.25,329.56558872662555,2050.0,845.0,5.9689288634505315,11.053984575835475,1.176043557168784,0.9876166888931225,-144.80000000000024,1102.0,7.253086419753087,9.876543209876543,94.0,46.373456790123456,31.790123456790127,0.06878715134887976,29.0
2023-10-01,1130.0,2023.0,10.0,4.0,4.0,21.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844387,-0.49999999999999983,0.0,0.0,0.0,0.0,31.0,1263.0,1296.0,1223.0,1622.0,1191.0,1260.6666666666667,36.555893277737496,1386.1666666666667,155.2641834637553,1325.6666666666667,323.4485580381673,2050.0,845.0,-2.5462962962962963,14.609800362976408,1.0604534005037782,0.9527281870756852,-74.60000000000025,1191.0,4.513064133016627,17.181314330958035,57.0,51.06888361045131,33.174980205859065,0.06510720807638563,27.0
2023-11-01,1242.0,2023.0,11.0,4.0,4.0,22.0,-0.5000000000000004,0.8660254037844384,-0.8660254037844392,0.4999999999999991,0.0,1.0,0.0,0.0,30.0,1130.0,1263.0,1296.0,1507.0,1485.0,1229.6666666666667,87.87680771018786,1304.1666666666667,134.30922033377556,1320.5833333333333,326.22481326207975,2050.0,845.0,-10.530482977038796,-5.121746431570109,0.7609427609427609,0.8556824635577712,-64.02857142857158,1485.0,1.9469026548672566,16.10619469026549,22.0,48.05309734513274,30.08849557522124,0.07817370193437231,24.0
2023-12-01,987.0,2023.0,12.0,4.0,0.0,23.0,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,1.0,0.0,0.0,1.0,31.0,1242.0,1130.0,1263.0,1406.0,1080.0,1211.6666666666667,71.50058274820796,1260.0,90.78986727603471,1300.3333333333333,322.61300580595247,2050.0,845.0,9.91150442477876,-16.363636363636363,1.15,0.9551397077672392,-32.34285714285729,1080.0,1.3687600644122384,18.92109500805153,17.0,41.22383252818035,34.21900161030596,0.07217334256471693,26.0
2024-01-01,1018.0,2024.0,1.0,1.0,0.0,24.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,0.0,1.0,0.0,31.0,987.0,1242.0,1130.0,1223.0,845.0,1119.6666666666667,127.81366645759495,1190.1666666666667,114.163771252822,1292.5833333333333,329.43214457424745,2050.0,845.0,-20.531400966183575,-8.61111111111111,1.1680473372781066,0.763587131712978,-42.14285714285718,941.5,3.546099290780142,18.237082066869302,35.0,45.49138804457954,31.10435663627153,0.07967303414499949,24.0
2024-02-01,1277.0,2024.0,2.0,1.0,0.0,25.0,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,0.0,0.0,0.0,0.0,29.0,1018.0,987.0,1242.0,1296.0,940.0,1082.3333333333333,139.1414148746998,1156.0,131.7011769119775,1307.0,311.3536428389604,2050.0,940.0,3.1408308004052685,20.473372781065088,1.0829787234042554,0.7788829380260138,-60.17142857142879,777.5,3.536345776031434,13.654223968565816,36.0,56.483300589390964,29.960707269155208,0.09300566232182211,25.0
2024-03-01,2109.0,2024.0,3.0,1.0,1.0,26.0,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,31.0,1277.0,1018.0,987.0,1263.0,2050.0,1094.0,159.2388143638353,1152.8333333333333,127.83335506301422,1335.0833333333333,289.686180777291,2050.0,987.0,25.442043222003928,35.851063829787236,0.6229268292682927,0.9564946008364023,-14.885714285714403,1617.0,2.11433046202036,13.860610806577917,27.0,58.1832419733751,28.26938136256852,0.07286741083282386,26.0
